Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Weight Unit,Variant Grams,Status
mc-0512276,,,,,,,,,,,,,,,,,,,,https://www.b2bmarkt.gr/img/prd/o/74904/dermatini-se-mpez-chroma-fb91833203-147e-1.jpg,2,ДЕРМАТИН В БЕЖОВ ЦВЯТ 147см ШИРИНА - снимка 2,,,,,,
mc-0512276,,,,,,,,,,,,,,,,,,,,https://www.b2bmarkt.gr/img/prd/o/74904/dermatini-se-mpez-chroma-fb91833203-147e-2.jpg,3,ДЕРМАТИН В БЕЖОВ ЦВЯТ 147см ШИРИНА - снимка 3,,,,,,
mc-0512276,,,,,,,,,,,,,,,,,,,,https://www.b2bmarkt.gr/img/prd/o/74904/dermatini-se-mpez-chroma-fb91833203-147e-3.jpg,4,ДЕРМАТИН В БЕЖОВ ЦВЯТ 147см ШИРИНА - снимка 4,,,,,,
mc-0512276,,,,,,,,,,,,,,,,,,,,https://www.b2bmarkt.gr/img/prd/o/74904/dermatini-se-mpez-chroma-fb91833203-147e-4.jpg,5,ДЕРМАТИН В БЕЖОВ ЦВЯТ 147см ШИРИНА - снимка 5,,,,,,
mc-0512136,"Кожен диван в оранжево, 147 см ширина",<p><strong>Въведение</strong></p><p>Изкуствена кожа в ОРАНЖЕВ цвят за подмяна на стари приложения или дори за нови проекти. ПРОДАВА СЕ НА МЕТЪР.</p><ul><li><strong>Ширина:</strong> 147 см</li></ul><p><strong>Забележка:</strong> Цветопредаването на продукта може да се различава леко от фотографското му изображение на вашия екран.</p>,Europe,,Ъглови дивани,Дивани - Ъглови дивани,FALSE,Title,Default Title,0512136,shopify,3,deny,manual,19.22,12.9,TRUE,TRUE,,https://www.b2bmarkt.gr/img/prd/o/74905/dermatini-se-portokali-chroma-fb91833206.jpg,1,ДЕРМАТИН В ОРАНЖЕВ ЦВЯТ 147см ШИРИНА - снимка 1,FALSE,Кожен материал в оранжево 147см ширина,"Дермантин в оранжев цвят , 147 см ширина - подходящ за подмяна на стари приложения или за нови проекти. Продава се в MebelCenter.",kg,1800,draft
mc-0512136,,,,,,,,,,,,,,,,,,,,https://www.b2bmarkt.gr/img/prd/o/74905/dermatini-se-portokali-chroma-fb91833206-1.jpg,2,ДЕРМАТИН В ОРАНЖЕВ ЦВЯТ 147см ШИРИНА - снимка 2,,,,,,
mc-0512136,,,,,,,,,,,,,,,,,,,,https://www.b2bmarkt.gr/img/prd/o/74905/dermatini-se-portokali-chroma-fb91833206-2.jpg,3,ДЕРМАТИН В ОРАНЖЕВ ЦВЯТ 147см ШИРИНА - снимка 3,,,,,,
mc-0512136,,,,,,,,,,,,,,,,,,,,https://www.b2bmarkt.gr/img/prd/o/74905/dermatini-se-portokali-chroma-fb91833206-3.jpg,4,ДЕРМАТИН В ОРАНЖЕВ ЦВЯТ 147см ШИРИНА - снимка 4,,,,,,
mc-0512136,,,,,,,,,,,,,,,,,,,,https://www.b2bmarkt.gr/img/prd/o/74905/dermatini-se-portokali-chroma-fb91833206-4.jpg,5,ДЕРМАТИН В ОРАНЖЕВ ЦВЯТ 147см ШИРИНА - снимка 5,,,,,,
mc-0613436,"Диван легло MELU сив плат, покет пружини 240-250x90x85 см","<p><strong>Канапе Легло MELU -СИВО</strong></p>
<p>MELU е премиум избор на канапе легло, което съчетава съвременен дизайн с усъвършенствана технология за комфорт. Сивата текстилна тапицерия с капитонирана техника покрива както предната, така и задната част на облегалката, позволявайки поставяне дори в центъра на помещението. Регулируемите подлакътници с три степени на наклон осигуряват гъвкавост и персонализирана опора, подобрявайки ежедневното изживяване на релакс.</p>
<ul>
<li><strong>Размери:</strong> Размери на канапето: 240-250x90x85В см.</li>
<li><strong>Размери на леглото:</strong> 188x115x43В см.</li>
</ul>
<p>________________________________________</p>
<p><strong>Материали:</strong></p>
<ul>
<li>Рамка от висококачествен и стабилен евкалиптов дървен материал.</li>
<li>Технология S spring за еластичност и равномерно разпределение на тежестта.</li>
<li>Pocket Springs в седалката и облегалката за подобрена ергономия и независима опора.</li>
<li>Пълнежи от първични пяни с плътност 16 и 22 кг/м³ за комфорт и еластичност.</li>
<li>Рециклирана пяна с плътност 50 кг/м³ за повишена плътност и издръжливост.</li>
<li>Крака от полиетилен с висока износоустойчивост.</li>
</ul>
<p>________________________________________</p>
<p><strong>Преобразуване в легло:</strong></p>
<p>Механизмът тип клик-клак позволява бързо и лесно преобразуване в легло. С едно плавно движение облегалката се сгъва назад, а две вградени скрити крачета от задната страна на облегалката осигуряват необходимата опора в позиция за сън. Идеално решение за ежедневна употреба или за посрещане на гости.</p>
<p>________________________________________</p>
<p><strong>Поддръжка:</strong></p>
<ul>
<li>Редовно почистване на текстила с прахосмукачка.</li>
<li>Локално почистване с мек почистващ препарат за текстил.</li>
<li>Избягване на силни химикали и прекомерна влажност.</li>
<li>Периодична проверка на механизма за плавна работа.</li>
</ul>
<p> - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - --</p>
<p><strong>Предимства:</strong></p>
<ul>
<li>Капитонирана тапицерия отпред и отзад за поставяне в центъра на помещението.</li>
<li>Регулируеми подлакътници с три позиции за персонализиран комфорт.</li>
<li>Двойна технология на пружините за превъзходна опора.</li>
<li>Здрава рамка от евкалипт.</li>
<li>Лесно преобразуване в легло с стабилна поддръжка.</li>
</ul>
<p>MELU е идеалният избор за съвременни пространства, които изискват функционалност, елегантност и издръжливост в едно завършено, висококачествено изделие.</p>
<p>* Канапето се доставя разглобено в заводски опаковки.</p>
<p>** Цветовото представяне на продукта може леко да се различава от фотографското изображение на екрана ви.</p>",Europe,,Ъглови дивани,Дивани - Ъглови дивани,FALSE,Title,Default Title,0613436,shopify,30,deny,manual,892.80,604.37,TRUE,TRUE,5208067214551,https://www.b2bmarkt.gr/img/prd/o/76305/kanapes-krebati-fb9331401-gkri-yfasma-ka.jpg,1,ДИВАН ЛЕГЛО MELU СИВ ПЛАТ -СЕДАЛКА POCKET SPRINGS 240-250x90x85см - снимка 1,FALSE,Диван легло MELU сив плат - седалка Pocket Springs 240,"Диван легло MELU в сив плат с покет пружини, размери 240-250x90x85 см – премиум избор за комфорт и стил.",kg,66500,draft
mc-0613436,,,,,,,,,,,,,,,,,,,,https://www.b2bmarkt.gr/img/prd/o/76305/kanapes-krebati-fb9331401-gkri-yfasma-ka-1.jpg,2,ДИВАН ЛЕГЛО MELU СИВ ПЛАТ -СЕДАЛКА POCKET SPRINGS 240-250x90x85см - снимка 2,,,,,,
mc-0613436,,,,,,,,,,,,,,,,,,,,https://www.b2bmarkt.gr/img/prd/o/76305/kanapes-krebati-fb9331401-gkri-yfasma-ka-2.jpg,3,ДИВАН ЛЕГЛО MELU СИВ ПЛАТ -СЕДАЛКА POCKET SPRINGS 240-250x90x85см - снимка 3,,,,,,
mc-0613436,,,,,,,,,,,,,,,,,,,,https://www.b2bmarkt.gr/img/prd/o/76305/kanapes-krebati-fb9331401-gkri-yfasma-ka-3.jpg,4,ДИВАН ЛЕГЛО MELU СИВ ПЛАТ -СЕДАЛКА POCKET SPRINGS 240-250x90x85см - снимка 4,,,,,,
mc-0613436,,,,,,,,,,,,,,,,,,,,https://www.b2bmarkt.gr/img/prd/o/76305/kanapes-krebati-fb9331401-gkri-yfasma-ka-4.jpg,5,ДИВАН ЛЕГЛО MELU СИВ ПЛАТ -СЕДАЛКА POCKET SPRINGS 240-250x90x85см - снимка 5,,,,,,
mc-0613437,Диван легло MELU бежов плат с покет пружини 240-250x90x85 см,"<p><strong>Канапе Легло MELU -БЕЖОВО</strong></p><p>MELU е премиум избор на канапе легло, което съчетава съвременен дизайн с усъвършенствана технология за комфорт. Бежовата текстилна тапицерия с капитонирана техника покрива както предната, така и задната част на облегалката, позволявайки поставяне дори в центъра на помещението. Регулируемите подлакътници с три степени на наклон осигуряват гъвкавост и персонализирана опора, подобрявайки ежедневното изживяване на релакс.</p><ul><li><strong>Размери:</strong> Размери на канапето: 240-250x90x85В см.</li><li><strong>Размери на леглото:</strong> 188x115x43В см.</li></ul><p>________________________________________</p><p><strong>Материален състав:</strong></p><ul><li>Рамка от висококачествен и стабилен евкалиптов дървен материал.</li><li>Технология S spring, осигуряваща еластичност и равномерно разпределение на тежестта.</li><li>Pocket Springs в седалката и облегалката за подобрена ергономия и независима опора.</li><li>Пълнежи от първични пяни с плътност 16 и 22 кг/м³ за комфорт и еластичност.</li><li>Рециклирана пяна с плътност 50 кг/м³ за повишена плътност и издръжливост.</li><li>Крака от полиетилен с висока износоустойчивост.</li></ul><p>________________________________________</p><p><strong>Преобразуване в легло:</strong></p><p>Механизмът тип клик-клак позволява бързо и лесно преобразуване в легло. С едно плавно движение облегалката се спуска назад, а две вградени скрити крачета в задната част на облегалката осигуряват необходимата опора в позиция за сън. Идеално решение за ежедневна употреба или за посрещане на гости.</p><p>________________________________________</p><p><strong>Поддръжка:</strong></p><ul><li>Редовно почистване на текстила с прахосмукачка.</li><li>Локално почистване с мек почистващ препарат за текстил.</li><li>Избягване на силни химикали и прекомерна влажност.</li><li>Периодична проверка на механизма за плавна работа.</li></ul><p> - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - --</p><p><strong>Предимства:</strong></p><ul><li>Капитонирана тапицерия отпред и отзад за поставяне в центъра на помещението.</li><li>Регулируеми подлакътници с три позиции за персонализиран комфорт.</li><li>Двойна технология на пружините за превъзходна опора.</li><li>Здрава рамка от евкалипт.</li><li>Лесно преобразуване в легло с стабилна поддръжка.</li></ul><p>MELU е идеалният избор за съвременни пространства, които изискват функционалност, елегантност и издръжливост в едно завършено, висококачествено изделие.</p><p>* Канапето се доставя разглобено в заводски опаковки.<br />** Цветовото представяне на продукта може леко да се различава от фотографското изображение на вашия екран.</p>",Europe,,Ъглови дивани,Дивани - Ъглови дивани,FALSE,Title,Default Title,0613437,shopify,22,deny,manual,892.80,604.37,TRUE,TRUE,5208067214568,https://www.b2bmarkt.gr/img/prd/o/76306/kanapes-krebati-fb9331402-mpez-yfasma-ka.jpg,1,ДИВАН ЛЕГЛО MELU БЕЖОВ ПЛАТ -СЕДАЛКА POCKET SPRINGS 240-250x90x85Всм - снимка 1,FALSE,Диван легло MELU бежов плат с покет пружини 240,"Диван легло MELU бежов плат - диван легло MELU - бежов<br />
<br />
MELU е премиум избор диван легло, което съчетава",kg,66500,draft
mc-0613437,,,,,,,,,,,,,,,,,,,,https://www.b2bmarkt.gr/img/prd/o/76306/kanapes-krebati-fb9331402-mpez-yfasma-ka-1.jpg,2,ДИВАН ЛЕГЛО MELU БЕЖОВ ПЛАТ -СЕДАЛКА POCKET SPRINGS 240-250x90x85Всм - снимка 2,,,,,,
mc-0613437,,,,,,,,,,,,,,,,,,,,https://www.b2bmarkt.gr/img/prd/o/76306/kanapes-krebati-fb9331402-mpez-yfasma-ka-2.jpg,3,ДИВАН ЛЕГЛО MELU БЕЖОВ ПЛАТ -СЕДАЛКА POCKET SPRINGS 240-250x90x85Всм - снимка 3,,,,,,
mc-0613437,,,,,,,,,,,,,,,,,,,,https://www.b2bmarkt.gr/img/prd/o/76306/kanapes-krebati-fb9331402-mpez-yfasma-ka-3.jpg,4,ДИВАН ЛЕГЛО MELU БЕЖОВ ПЛАТ -СЕДАЛКА POCKET SPRINGS 240-250x90x85Всм - снимка 4,,,,,,
mc-0613437,,,,,,,,,,,,,,,,,,,,https://www.b2bmarkt.gr/img/prd/o/76306/kanapes-krebati-fb9331402-mpez-yfasma-ka-4.jpg,5,ДИВАН ЛЕГЛО MELU БЕЖОВ ПЛАТ -СЕДАЛКА POCKET SPRINGS 240-250x90x85Всм - снимка 5,,,,,,
mc-0613438,Диван легло MELU зелен плат с покет пружини 245x90x85 см,"<p><strong>Канапе Легло MELU -ЗЕЛЕНО</strong></p><p>MELU е премиум избор на канапе легло, което съчетава съвременен дизайн с усъвършенствана технология за комфорт. Зеленият текстилен тапицерски плат с капитонирана техника покрива както предната, така и задната част на облегалката, позволявайки поставяне дори в центъра на помещението. Подлакътниците с тристепенна регулировка на наклона осигуряват гъвкавост и персонализирана опора, подобрявайки ежедневното изживяване на релакс.</p><ul><li><strong>Размери:</strong></li><li>Размери на канапето: 245x90x85В см</li><li>Размери на седалката: 190x60 см</li><li>Размери на облегалката: 195x48 см</li><li>Височина на седалката: 40 см</li><li>Височина на подлакътниците: 58 см</li><li>Размери на леглото: 190x110x43В см (външни)</li></ul><ul><li><strong>Материали:</strong></li><li>Рамка от дърво евкалипт с висока здравина и стабилност</li><li>Технология S spring за еластичност и равномерно разпределение на тежестта</li><li>Pocket Springs в седалката и облегалката за подобрена ергономия и независима опора</li><li>Пълнежи от първични пяни с плътност 16 и 22 кг/м³ за комфорт и еластичност</li><li>Рециклирана пяна с плътност 50 кг/м³ за повишена плътност и издръжливост</li><li>Крака от полиетилен с висока износоустойчивост</li></ul><ul><li><strong>Преобразуване в легло:</strong></li><li>Механизъм тип клик-клак позволява бързо и лесно превръщане в легло. С плавно движение облегалката се спуска назад, а две вградени скрити крачета отзад осигуряват необходимата опора в легнало положение. Идеално решение за ежедневна употреба или за посрещане на гости.</li></ul><ul><li><strong>Поддръжка:</strong></li><li>Редовно почистване на плата с прахосмукачка</li><li>Локално почистване с мек почистващ препарат за текстил</li><li>Избягване на силни химикали и прекомерна влажност</li><li>Периодична проверка на механизма за плавна работа</li></ul><ul><li><strong>Предимства:</strong></li><li>Капитонирана тапицерия отпред и отзад за поставяне в центъра на помещението</li><li>Регулируеми подлакътници в три позиции за персонализиран комфорт</li><li>Двойна технология на пружините за превъзходна опора</li><li>Здрава рамка от евкалипт</li><li>Лесно преобразуване в легло със стабилна поддръжка</li></ul><p>MELU е идеалният избор за съвременни пространства, които изискват функционалност, елегантност и издръжливост в едно цялостно, висококачествено решение.</p><p>* Канапето се доставя неразглобено в заводски опаковки<br />** Цветовото представяне на продукта може леко да се различава от фотографското изображение на вашия екран.</p>",Europe,,Ъглови дивани,Дивани - Ъглови дивани,FALSE,Title,Default Title,0613438,shopify,11,deny,manual,892.80,604.37,TRUE,TRUE,5208067214582,https://www.b2bmarkt.gr/img/prd/o/76307/kanapes-krebati-fb9331403-prasino-yfasma.jpg,1,Диван легло MELU зелен плат -седалка POCKET SPRINGS 245x90x85см - снимка 1,FALSE,Диван легло MELU зелен плат с покет пружини 245x90x85 см,"Диван легло MELU в зелен плат – комфорт и стил с размери 245x90x85 см, с покет пружини за оптимална опора.",kg,66500,draft
mc-0613438,,,,,,,,,,,,,,,,,,,,https://www.b2bmarkt.gr/img/prd/o/76307/kanapes-krebati-fb9331403-prasino-yfasma-1.jpg,2,Диван легло MELU зелен плат -седалка POCKET SPRINGS 245x90x85см - снимка 2,,,,,,
mc-0613438,,,,,,,,,,,,,,,,,,,,https://www.b2bmarkt.gr/img/prd/o/76307/kanapes-krebati-fb9331403-prasino-yfasma-2.jpg,3,Диван легло MELU зелен плат -седалка POCKET SPRINGS 245x90x85см - снимка 3,,,,,,
mc-0613438,,,,,,,,,,,,,,,,,,,,https://www.b2bmarkt.gr/img/prd/o/76307/kanapes-krebati-fb9331403-prasino-yfasma-3.jpg,4,Диван легло MELU зелен плат -седалка POCKET SPRINGS 245x90x85см - снимка 4,,,,,,
mc-0613438,,,,,,,,,,,,,,,,,,,,https://www.b2bmarkt.gr/img/prd/o/76307/kanapes-krebati-fb9331403-prasino-yfasma-4.jpg,5,Диван легло MELU зелен плат -седалка POCKET SPRINGS 245x90x85см - снимка 5,,,,,,
mc-0613439,Диван легло MELU теракота плат с покет пружини 240-250x90x85 см,"<p><strong>Канапе Легло MELU -ТЕРАКОТА</strong></p>
<p>MELU е премиум избор на канапе легло, което съчетава съвременен дизайн с усъвършенствана технология за комфорт. Текстилната тапицерия в цвят ТЕРАКОТА с капитонирана техника покрива както предната, така и задната част на облегалката, позволявайки поставяне дори в центъра на помещението. Регулируемите подлакътници с три степени на наклон предлагат гъвкавост и персонализирана опора, подобрявайки ежедневното изживяване на релакс.</p>
<ul><li><strong>Размери:</strong> Размери на канапето: 240-250x90x85В см.</li><li><strong>Размери на леглото:</strong> 188x115x43В см.</li></ul>
<p>________________________________________</p>
<p><strong>Анализ на материалите:</strong></p>
<ul><li>Рамка от висококачествен и стабилен евкалиптов дървен материал.</li><li>Технология S spring, осигуряваща еластичност и равномерно разпределение на тежестта.</li><li>Pocket Springs в седалката и облегалката за подобрена ергономия и независима опора.</li><li>Пълнежи от първични пяни с плътност 16 и 22 кг/м³ за комфорт и еластичност.</li><li>Рециклирана пяна с плътност 50 кг/м³ за повишена плътност и издръжливост.</li><li>Крака от полиетилен с висока устойчивост на износване.</li></ul>
<p>________________________________________</p>
<p><strong>Преобразуване в легло:</strong></p>
<p>Механизмът тип клик-клак позволява бързо и лесно превръщане в легло. С плавно движение облегалката се спуска назад, а две вградени скрити крачета от задната страна осигуряват необходимата опора в позиция за сън. Идеално решение за ежедневна употреба или за посрещане на гости.</p>
<p>________________________________________</p>
<p><strong>Поддръжка:</strong></p>
<ul><li>Редовно почистване на текстила с прахосмукачка.</li><li>Локално почистване с мек почистващ препарат за текстил.</li><li>Избягване на силни химикали и прекомерна влажност.</li><li>Периодична проверка на механизма за плавна работа.</li></ul>
<p> - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - --</p>
<p><strong>Предимства:</strong></p>
<ul><li>Капитонирана тапицерия отпред и отзад за поставяне в центъра на помещението.</li><li>Регулируеми подлакътници с три позиции за персонализиран комфорт.</li><li>Двойна технология на пружините за превъзходна опора.</li><li>Здрава рамка от евкалипт.</li><li>Лесно преобразуване в легло със стабилна поддръжка.</li></ul>
<p>MELU е идеалният избор за съвременни пространства, които изискват функционалност, елегантност и издръжливост в едно завършено, висококачествено решение.</p>
<p>* Канапето се доставя разглобено в заводски опаковки.<br />
** Цветовото представяне на продукта може леко да се различава от фотографското изображение на екрана ви.</p>",Europe,,Ъглови дивани,Дивани - Ъглови дивани,FALSE,Title,Default Title,0613439,shopify,8,deny,manual,892.80,604.37,TRUE,TRUE,5208067214575,https://www.b2bmarkt.gr/img/prd/o/76308/kanapes-krebati-fb9331404-terakota-yfasm.jpg,1,ДИВАН ЛЕГЛО MELU ТЕРАКОТА ПЛАТ -СЕДАЛКА POCKET SPRINGS 240-250x90x85см - снимка 1,FALSE,Диван легло MELU теракота с покет пружини 240-250x90x85 см,"Диван легло MELU в теракота плат – премиум избор с покет пружини, размери 240-250x90x85 см, удобство и стил от MebelCenter.",kg,66500,draft
mc-0613439,,,,,,,,,,,,,,,,,,,,https://www.b2bmarkt.gr/img/prd/o/76308/kanapes-krebati-fb9331404-terakota-yfasm-1.jpg,2,ДИВАН ЛЕГЛО MELU ТЕРАКОТА ПЛАТ -СЕДАЛКА POCKET SPRINGS 240-250x90x85см - снимка 2,,,,,,
mc-0613439,,,,,,,,,,,,,,,,,,,,https://www.b2bmarkt.gr/img/prd/o/76308/kanapes-krebati-fb9331404-terakota-yfasm-2.jpg,3,ДИВАН ЛЕГЛО MELU ТЕРАКОТА ПЛАТ -СЕДАЛКА POCKET SPRINGS 240-250x90x85см - снимка 3,,,,,,
mc-0613439,,,,,,,,,,,,,,,,,,,,https://www.b2bmarkt.gr/img/prd/o/76308/kanapes-krebati-fb9331404-terakota-yfasm-3.jpg,4,ДИВАН ЛЕГЛО MELU ТЕРАКОТА ПЛАТ -СЕДАЛКА POCKET SPRINGS 240-250x90x85см - снимка 4,,,,,,
mc-0613439,,,,,,,,,,,,,,,,,,,,https://www.b2bmarkt.gr/img/prd/o/76308/kanapes-krebati-fb9331404-terakota-yfasm-4.jpg,5,ДИВАН ЛЕГЛО MELU ТЕРАКОТА ПЛАТ -СЕДАЛКА POCKET SPRINGS 240-250x90x85см - снимка 5,,,,,,
